"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7"
"16/05/23 03:00:25.697";303;82;174;268;525
"16/05/23 03:00:26.208";288;82;169;287;536
"16/05/23 03:00:32.096";283;95;184;273;553
"16/05/23 03:00:36.134";26;97;177;296;568
"16/05/23 03:00:36.949";41;11;162;297;580
"16/05/23 03:00:42.644";23;10;0;111;588
"16/05/23 03:00:46.297";26;9;24;0;141
"16/05/23 03:00:47.973";39;20;25;7;40
"16/05/23 03:00:54.356";239;21;28;26;34
"16/05/23 03:00:57.980";282;11;22;24;36
"16/05/23 03:00:59.178";307;99;48;11;37
"16/05/23 03:01:03.312";302;86;221;283;34
"16/05/23 03:01:06.517";278;79;166;264;501
"16/05/23 03:01:12.053";313;82;166;273;543
"16/05/23 03:01:15.806";318;84;169;291;548
"16/05/23 03:01:18.542";329;95;186;293;562
"16/05/23 03:01:23.266";111;99;175;311;575
"16/05/23 03:01:24.956";19;123;191;285;592
"16/05/23 03:01:28.388";40;10;72;329;614
"16/05/23 03:01:30.724";39;7;0;0;569
"16/05/23 03:01:35.503";40;27;6;13;63
"16/05/23 03:01:41.221";275;23;24;8;35
"16/05/23 03:01:43.648";297;89;10;10;33
"16/05/23 03:01:45.363";283;99;218;275;37
"16/05/23 03:01:49.464";280;90;164;248;475
"16/05/23 03:01:52.844";284;81;165;267;536
"16/05/23 03:01:57.616";310;79;166;282;541
"16/05/23 03:02:02.270";316;96;186;268;549
"16/05/23 03:02:04.000";281;85;174;293;567
"16/05/23 03:02:07.813";26;97;186;305;580
"16/05/23 03:02:11.735";38;10;164;285;592
"16/05/23 03:02:16.867";266;23;0;0;583
"16/05/23 03:02:20.811";267;13;23;25;84
"16/05/23 03:02:21.688";286;97;143;13;37
"16/05/23 03:02:28.008";289;78;216;283;83
"16/05/23 03:02:28.320";299;89;170;249;494
"16/05/23 03:02:34.783";313;82;159;255;526
"16/05/23 03:02:36.758";305;83;179;279;532
"16/05/23 03:02:39.749";333;79;183;284;550
"16/05/23 03:02:46.143";38;86;190;295;562
"16/05/23 03:02:46.649";26;85;177;304;579
"16/05/23 03:02:51.553";40;12;39;281;593
"16/05/23 03:02:54.880";37;10;0;2;495
"16/05/23 03:02:57.687";25;9;7;29;62
"16/05/23 03:03:01.415";40;8;12;27;36
"16/05/23 03:03:05.389";26;11;27;9;35
"16/05/23 03:03:09.005";39;23;10;29;36
"16/05/23 03:03:11.899";46;7;6;7;33
"16/05/23 03:03:15.752";27;25;7;10;36
"16/05/23 03:03:19.203";23;11;23;15;36
"16/05/23 03:03:24.906";25;25;25;29;34
"16/05/23 03:03:26.140";20;8;27;10;34
"16/05/23 03:03:30.190";26;25;15;10;34
"16/05/23 03:03:33.972";26;20;8;26;34
"16/05/23 03:03:38.148";24;23;7;9;36
"16/05/23 03:03:40.397";28;9;14;26;36
"16/05/23 03:03:45.882";23;22;7;27;36
"16/05/23 03:03:49.500";38;23;26;24;34
"16/05/23 03:03:51.589";25;20;13;11;37
"16/05/23 03:03:56.774";25;8;22;13;36
"16/05/23 03:03:59.321";39;9;14;29;35
"16/05/23 03:04:05.310";240;23;8;12;36
"16/05/23 03:04:08.914";262;23;22;23;33
"16/05/23 03:04:10.428";279;92;107;12;33
"16/05/23 03:04:13.406";257;74;215;275;33
"16/05/23 03:04:16.490";285;71;151;251;476
"16/05/23 03:04:22.769";293;87;150;251;505
"16/05/23 03:04:26.773";314;87;155;272;511
"16/05/23 03:04:27.795";318;90;175;276;523
"16/05/23 03:04:34.132";176;92;186;264;535
"16/05/23 03:04:37.060";27;105;176;269;557
"16/05/23 03:04:38.699";39;9;109;310;577
"16/05/23 03:04:44.037";46;10;0;1;573
"16/05/23 03:04:48.427";43;9;26;28;67
"16/05/23 03:04:49.043";41;9;8;12;35
"16/05/23 03:04:52.792";40;21;10;25;33
"16/05/23 03:04:57.541";43;22;23;26;36
"16/05/23 03:04:59.574";44;20;21;16;36
"16/05/23 03:05:04.834";40;9;7;30;36
"16/05/23 03:05:08.959";43;6;30;29;35
"16/05/23 03:05:13.782";41;24;22;29;33
"16/05/23 03:05:14.132";27;22;27;29;36
"16/05/23 03:05:18.731";27;9;24;6;35
"16/05/23 03:05:21.723";22;6;12;23;36
"16/05/23 03:05:25.541";47;8;25;9;35
"16/05/23 03:05:28.734";22;8;23;10;36
"16/05/23 03:05:32.652";24;7;22;27;36
"16/05/23 03:05:37.929";47;31;8;13;36
"16/05/23 03:05:40.568";40;5;10;28;36
"16/05/23 03:05:45.368";41;11;6;9;36
"16/05/23 03:05:48.071";44;10;25;10;33
"16/05/23 03:05:51.864";25;12;7;10;34
"16/05/23 03:05:53.627";26;8;9;29;34
"16/05/23 03:05:57.252";44;6;24;23;33
"16/05/23 03:06:01.444";22;24;13;27;33
"16/05/23 03:06:04.589";39;12;21;23;36
"16/05/23 03:06:10.577";44;8;7;31;35
"16/05/23 03:06:13.812";42;9;21;29;36
