"DateTime";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA3";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA4";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA5";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA6";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA7";"TL2.SP.AN2L_TCONT_CORRIENTE_REAL_CAJA11"
"13/05/23 20:25:35.036";233;88;149;247;436;0
"13/05/23 20:25:37.608";243;87;161;245;433;0
"13/05/23 20:25:42.416";253;74;167;270;442;0
"13/05/23 20:25:46.338";263;91;176;257;452;0
"13/05/23 20:25:48.725";27;48;166;287;467;0
"13/05/23 20:25:51.531";24;13;155;306;492;0
"13/05/23 20:25:56.669";242;9;0;7;539;0
"13/05/23 20:25:58.320";245;94;29;26;92;0
"13/05/23 20:26:04.414";236;90;199;25;42;0
"13/05/23 20:26:06.404";233;76;141;268;213;0
"13/05/23 20:26:08.879";207;87;143;278;424;0
"13/05/23 20:26:13.757";232;86;141;250;435;0
"13/05/23 20:26:17.845";244;86;161;262;431;0
"13/05/23 20:26:22.310";252;87;149;251;438;0
"13/05/23 20:26:25.938";264;74;175;269;450;0
"13/05/23 20:26:29.098";28;51;177;275;465;0
"13/05/23 20:26:30.660";26;13;163;294;483;0
"13/05/23 20:26:33.687";25;8;0;41;522;0
"13/05/23 20:26:37.714";23;10;22;0;123;0
"13/05/23 20:26:42.784";258;15;28;25;45;0
"13/05/23 20:26:46.845";252;101;11;24;39;0
"13/05/23 20:26:48.247";225;110;202;15;38;0
"13/05/23 20:26:54.935";244;79;143;279;249;0
"13/05/23 20:26:57.122";223;79;144;263;433;0
"13/05/23 20:27:02.081";249;89;164;258;447;0
"13/05/23 20:27:05.393";264;88;163;254;442;0
"13/05/23 20:27:06.454";270;90;156;258;449;0
"13/05/23 20:27:10.879";248;99;179;283;465;0
"13/05/23 20:27:14.652";27;53;167;294;483;0
"13/05/23 20:27:18.866";25;13;160;312;506;0
"13/05/23 20:27:23.725";236;21;0;2;548;0
"13/05/23 20:27:25.234";227;23;24;21;91;0
"13/05/23 20:27:30.682";211;106;166;9;44;0
"13/05/23 20:27:32.261";206;78;140;273;158;0
"13/05/23 20:27:35.373";228;73;139;276;420;0
"13/05/23 20:27:38.728";213;74;144;255;434;0
"13/05/23 20:27:45.277";253;70;163;259;430;0
"13/05/23 20:27:48.641";261;89;167;243;437;0
"13/05/23 20:27:50.165";258;93;175;266;448;0
"13/05/23 20:27:54.689";24;53;180;282;467;0
"13/05/23 20:27:58.246";37;94;165;299;487;0
"13/05/23 20:28:03.053";236;13;0;185;523;0
"13/05/23 20:28:05.284";245;11;21;4;136;0
"13/05/23 20:28:07.695";220;105;174;7;47;0
"13/05/23 20:28:13.871";207;76;140;278;134;0
"13/05/23 20:28:14.411";219;77;156;281;418;0
"13/05/23 20:28:18.252";213;87;144;252;437;0
"13/05/23 20:28:24.548";254;87;162;264;438;0
"13/05/23 20:28:27.858";262;72;168;244;443;0
"13/05/23 20:28:31.305";234;82;159;272;455;0
"13/05/23 20:28:34.640";21;47;167;287;470;0
"13/05/23 20:28:37.144";21;92;161;304;491;0
"13/05/23 20:28:42.848";233;11;0;251;524;0
"13/05/23 20:28:46.341";256;11;26;5;129;0
"13/05/23 20:28:47.761";218;102;25;30;46;0
"13/05/23 20:28:53.583";216;81;199;250;40;0
"13/05/23 20:28:54.322";218;76;141;280;407;0
"13/05/23 20:28:57.697";221;75;145;253;435;0
"13/05/23 20:29:04.060";251;77;160;266;439;0
"13/05/23 20:29:06.367";262;91;169;270;443;0
"13/05/23 20:29:10.189";270;97;175;274;456;0
"13/05/23 20:29:15.112";22;58;181;288;471;0
"13/05/23 20:29:16.326";41;16;188;301;489;0
"13/05/23 20:29:22.375";238;7;0;321;521;0
"13/05/23 20:29:25.434";227;74;22;2;267;0
"13/05/23 20:29:26.947";243;107;197;23;54;0
"13/05/23 20:29:32.822";219;81;143;269;208;0
"13/05/23 20:29:36.997";239;88;158;278;427;0
"13/05/23 20:29:40.330";252;72;160;247;443;0
"13/05/23 20:29:42.950";257;75;164;265;444;0
"13/05/23 20:29:47.476";266;78;159;269;449;0
"13/05/23 20:29:48.470";262;94;161;278;459;0
"13/05/23 20:29:54.015";20;50;180;291;472;0
"13/05/23 20:29:55.885";37;6;163;306;493;0
"13/05/23 20:30:01.999";248;23;0;8;528;0
"13/05/23 20:30:05.387";220;100;22;24;111;0
"13/05/23 20:30:06.903";218;83;201;40;44;0
"13/05/23 20:30:10.120";240;79;166;284;341;0
"13/05/23 20:30:15.671";213;89;146;256;430;0
"13/05/23 20:30:19.342";234;71;159;263;437;0
"13/05/23 20:30:22.519";242;79;147;265;438;0
"13/05/23 20:30:26.789";251;74;166;268;443;0
"13/05/23 20:30:30.922";271;76;175;255;453;0
"13/05/23 20:30:31.826";25;47;176;279;468;0
"13/05/23 20:30:38.141";232;11;153;299;485;0
"13/05/23 20:30:41.117";252;11;0;4;531;0
"13/05/23 20:30:43.634";220;103;23;24;80;0
"13/05/23 20:30:48.009";216;83;202;250;41;0
"13/05/23 20:30:49.636";212;76;141;279;410;0
"13/05/23 20:30:54.044";210;73;143;250;437;0
"13/05/23 20:30:59.032";237;75;158;246;440;0
"13/05/23 20:31:03.000";241;74;145;261;436;0
"13/05/23 20:31:04.430";226;87;170;264;445;0
"13/05/23 20:31:10.444";33;48;162;274;456;0
"13/05/23 20:31:14.184";36;85;177;275;468;0
"13/05/23 20:31:15.017";25;12;0;305;495;0
"13/05/23 20:31:20.880";251;25;24;5;327;0
"13/05/23 20:31:24.830";225;101;13;23;56;0
"13/05/23 20:31:26.538";245;108;204;14;41;0
"13/05/23 20:31:32.090";217;80;172;281;319;0
"13/05/23 20:31:35.586";217;93;152;259;437;0
"13/05/23 20:31:36.488";211;76;151;251;446;0
"13/05/23 20:31:42.706";250;78;166;264;445;0
"13/05/23 20:31:44.420";235;89;169;255;444;0
"13/05/23 20:31:50.102";263;78;175;275;456;0
"13/05/23 20:31:53.375";26;47;167;284;471;0
"13/05/23 20:31:55.862";26;15;158;303;489;0
"13/05/23 20:32:00.660";26;9;0;2;532;0
"13/05/23 20:32:04.483";251;22;21;21;90;0
"13/05/23 20:32:07.032";218;107;21;26;42;0
"13/05/23 20:32:11.594";238;80;200;247;39;0
"13/05/23 20:32:12.056";237;74;145;282;386;0
"13/05/23 20:32:17.263";236;79;151;251;440;0
"13/05/23 20:32:20.270";242;74;167;261;445;0
"13/05/23 20:32:24.471";253;77;155;247;450;0
"13/05/23 20:32:26.793";238;74;175;272;458;0
"13/05/23 20:32:33.362";44;58;179;275;469;0
"13/05/23 20:32:36.218";24;86;186;285;485;0
"13/05/23 20:32:40.537";247;14;45;299;513;0
